district,state,latitude,longitude,rainfall,river_level,soil_moisture,slope,elevation,flood_history,landslide_history,flood_risk,landslide_risk
Dehradun,Uttarakhand,30.3165,78.0322,210.0,7.85,0.696,12.8,632.5,1,1,High,Medium
Haridwar,Uttarakhand,29.9457,78.1642,216.6,6.06,0.794,8.7,302.4,1,1,High,Medium
Rishikesh,Uttarakhand,30.0869,78.2676,204.6,5.87,0.672,10.0,374.6,1,1,High,Medium
Mussoorie,Uttarakhand,30.4598,78.0664,261.7,4.78,0.609,31.7,1910.7,1,0,Medium,Medium
Nainital,Uttarakhand,29.3803,79.4636,248.4,5.32,0.622,27.4,1984.5,0,1,Medium,High
Haldwani,Uttarakhand,29.2183,79.513,201.6,6.64,0.583,9.8,458.8,0,0,Medium,Low
Almora,Uttarakhand,29.5892,79.6467,178.0,3.59,0.559,23.9,1618.9,1,0,Medium,Medium
Pithoragarh,Uttarakhand,29.5826,80.2181,208.8,4.42,0.71,23.2,1918.4,0,1,Medium,High
Bageshwar,Uttarakhand,29.835,79.7725,239.4,4.22,0.645,21.6,1086.3,0,1,Medium,Medium
Champawat,Uttarakhand,29.3333,80.0917,192.6,5.19,0.665,28.6,1656.7,1,0,High,Medium
Chamoli,Uttarakhand,30.4021,79.3239,219.4,6.48,0.655,31.4,1405.1,1,1,Medium,High
Joshimath,Uttarakhand,30.5584,79.5637,170.7,6.72,0.55,33.7,1963.3,1,1,Medium,High
Badrinath,Uttarakhand,30.7433,79.4938,174.4,6.42,0.577,40.2,3170.6,1,0,High,Medium
Rudraprayag,Uttarakhand,30.2862,78.9814,240.6,5.95,0.6,28.4,951.3,0,0,Medium,Medium
Uttarkashi,Uttarakhand,30.7268,78.4354,177.6,4.67,0.544,30.1,1250.9,1,1,Medium,High
Gangotri,Uttarakhand,30.9939,78.9398,158.0,5.89,0.45,37.0,3060.2,0,1,Low,High
Tehri Garhwal,Uttarakhand,30.3749,78.4804,159.4,5.84,0.732,25.4,788.8,1,0,High,Low
New Tehri,Uttarakhand,30.3927,78.4835,219.7,5.71,0.696,25.1,895.9,0,1,Medium,Medium
Pauri,Uttarakhand,29.8756,78.7791,163.7,4.77,0.672,20.2,1751.7,1,1,Medium,Medium
Srinagar Garhwal,Uttarakhand,30.2231,78.7808,184.8,7.81,0.578,22.8,560.2,0,0,Medium,Low
Kotdwar,Uttarakhand,29.7469,78.525,243.5,6.67,0.675,12.9,399.7,0,0,Medium,Medium
Devprayag,Uttarakhand,30.149,78.5986,186.4,7.18,0.721,34.4,541.3,0,1,Medium,High
