state_code_lgd,state_name,state_code_census2011,match_method,match_confidence,notes,state_code_gadm
1,Jammu & Kashmir,01,curated,1.0,Manually verified LGD↔Census 2011 mapping,
2,Himachal Pradesh,02,curated,1.0,Manually verified LGD↔Census 2011 mapping,
3,Punjab,03,curated,1.0,Manually verified LGD↔Census 2011 mapping,
4,Chandigarh,04,curated,1.0,Manually verified LGD↔Census 2011 mapping,
5,Uttarakhand,05,curated,1.0,Manually verified LGD↔Census 2011 mapping,
6,Haryana,06,curated,1.0,Manually verified LGD↔Census 2011 mapping,
7,Delhi,07,curated,1.0,Manually verified LGD↔Census 2011 mapping,
8,Rajasthan,08,curated,1.0,Manually verified LGD↔Census 2011 mapping,
9,Uttar Pradesh,09,curated,1.0,Manually verified LGD↔Census 2011 mapping,
10,Bihar,10,curated,1.0,Manually verified LGD↔Census 2011 mapping,
11,Sikkim,11,curated,1.0,Manually verified LGD↔Census 2011 mapping,
12,Arunachal Pradesh,12,curated,1.0,Manually verified LGD↔Census 2011 mapping,
13,Nagaland,13,curated,1.0,Manually verified LGD↔Census 2011 mapping,
14,Manipur,14,curated,1.0,Manually verified LGD↔Census 2011 mapping,
15,Mizoram,15,curated,1.0,Manually verified LGD↔Census 2011 mapping,
16,Tripura,16,curated,1.0,Manually verified LGD↔Census 2011 mapping,
17,Meghalaya,17,curated,1.0,Manually verified LGD↔Census 2011 mapping,
18,Assam,18,curated,1.0,Manually verified LGD↔Census 2011 mapping,
19,West Bengal,19,curated,1.0,Manually verified LGD↔Census 2011 mapping,
20,Jharkhand,20,curated,1.0,Manually verified LGD↔Census 2011 mapping,
21,Odisha,21,curated,1.0,Manually verified LGD↔Census 2011 mapping,
22,Chhattisgarh,22,curated,1.0,Manually verified LGD↔Census 2011 mapping,
23,Madhya Pradesh,23,curated,1.0,Manually verified LGD↔Census 2011 mapping,
24,Gujarat,24,curated,1.0,Manually verified LGD↔Census 2011 mapping,
25,Daman & Diu,25,curated,1.0,Manually verified LGD↔Census 2011 mapping,
26,Dadra and Nagar Haveli and Daman & Diu,26,curated,1.0,Manually verified LGD↔Census 2011 mapping,
27,Maharashtra,27,curated,1.0,Manually verified LGD↔Census 2011 mapping,
28,Andhra Pradesh,28,curated,1.0,Manually verified LGD↔Census 2011 mapping,
29,Karnataka,29,curated,1.0,Manually verified LGD↔Census 2011 mapping,
30,Goa,30,curated,1.0,Manually verified LGD↔Census 2011 mapping,
31,Lakshadweep,31,curated,1.0,Manually verified LGD↔Census 2011 mapping,
32,Kerala,32,curated,1.0,Manually verified LGD↔Census 2011 mapping,
33,Tamil Nadu,33,curated,1.0,Manually verified LGD↔Census 2011 mapping,
34,Puducherry,34,curated,1.0,Manually verified LGD↔Census 2011 mapping,
35,Andaman & Nicobar Islands,35,curated,1.0,Manually verified LGD↔Census 2011 mapping,
36,Telangana,36,curated,1.0,Manually verified LGD↔Census 2011 mapping,
28,Andhra Pradesh (new),37,curated,1.0,Manually verified LGD↔Census 2011 mapping,
38,Ladakh,38,curated,1.0,Manually verified LGD↔Census 2011 mapping,
